000000	Officially Xerox
E0DCA0	Siemens Industrial Automation Products Ltd Chengdu
E0DCFF	Xiaomi Communications Co Ltd
E0DDC0	vivo Mobile Communication Co.
E0E5CF	Texas Instruments
E0E62E	TCT mobile ltd
E0E631	Snb Technologies Limited
E0E751	Nintendo Co.
E0E7BB	Nureva
E0E8E8	Olive Telecommunication Pvt. Ltd
E0ED1A	vastriver Technology Co.
E0EDC7	Shenzhen Friendcom Technology Development Co.
E0EE1B	Panasonic Automotive Systems Company of America
E0EF25	Lintes Technology Co.
E0F211	Digitalwatt
E0F5C6	Apple
E0F5CA	Cheng Uei Precision Industry Co.
E0F847	Apple
E0F9BE	Cloudena Corp.
E0FAEC	Platan sp. z o.o. sp. k.
E0FFF7	Softiron Inc.
E20C0F	Kingston Technologies
E4029B	Intel Corporate
E40439	TomTom Software Ltd
E40EEE	Huawei Technologies Co.
E4115B	Hewlett Packard
E41218	ShenZhen Rapoo Technology Co.
E4121D	Samsung Electronics Co.
E41289	topsystem Systemhaus GmbH
E417D8	8Bitdo Technology Hk Limited
E4186B	Zyxel Communications Corporation
E41A2C	ZPE Systems
E41C4B	V2 Technology
E41D2D	Mellanox Technologies
E41E0A	IEEE Registration Authority
E41E0A000000/28	Zavod № 423
E41E0A100000/28	Connected Cars A/S
E41E0A200000/28	IDvaco Private Limited
E41E0A300000/28	Avast Software s.r.o.
E41E0A400000/28	XPR Group
E41E0A600000/28	SFC Energy AG
E41E0A700000/28	Tritium Pty Ltd
E41E0A800000/28	SAGE Glass
E41E0A900000/28	B Meters S.R.L.
E41E0AA00000/28	FireAngel Safety Technology Ltd
E41E0AB00000/28	Safety Vision
E41E0AC00000/28	Teletask Belgium
E41E0AD00000/28	ROMO Wind A/S
E41E0AE00000/28	Shanghai LeXiang Technology Co.
E41F13	IBM Corp
E41FE9	Dunkermotoren GmbH
E422A5	Plantronics
E42354	Shenzhen Fuzhi Software Technology Co.
E425E7	Apple
E425E9	Color-Chip
E42771	Smartlabs
E42AD3	Magneti Marelli S.p.A. Powertrain
E42B34	Apple
E42C56	Lilee Systems
E42D02	TCT mobile ltd
E42D7B	China Mobile IOT Company Limited
E42F26	Fiberhome Telecommunication Technologies Co.
E42F56	OptoMET GmbH
E42FF6	Unicore communication Inc.
E43022	Hanwha Techwin Security Vietnam
E432CB	Samsung Electronics Co.
E43493	Huawei Technologies Co.
E43593	Hangzhou GoTo technology Co.Ltd
E435C8	Huawei Technologies Co.
E435FB	Sabre Technology (Hull) Ltd
E437D7	Henri Depaepe S.A.S.
E4388C	Digital Products Limited
E438F2	Advantage Controls
E43A6E	Shenzhen Zeroone Technology CO.
E43C80	University of Oklahoma
E43ED7	Arcadyan Corporation
E43FA2	Wuxi DSP Technologies Inc.
E440E2	Samsung Electronics Co.
E441E6	Ottec Technology GmbH
E442A6	Intel Corporate
E4434B	Dell Inc.
E446BD	C&C Technic Taiwan Co.
E446DA	Xiaomi Communications Co Ltd
E44790	Guangdong Oppo Mobile Telecommunications Corp.
E448C7	Cisco SPVTG
E44C6C	Shenzhen Guo Wei Electronic Co
E44CC7	IEEE Registration Authority
E44CC7000000/28	Alert Alarm AB
E44CC7100000/28	ACS-Solutions GmbH
E44CC7200000/28	Doowon Electronics & Telecom Co.
E44CC7300000/28	JSC "Svyaz Inginiring M"
E44CC7400000/28	Beijing Zhongchuangwei Nanjing Quantum Communication Technology Co.
E44CC7500000/28	Ce Labs
E44CC7600000/28	Hangzhou Ole-Systems Co.
E44CC7700000/28	Channel Enterprises (HK) Ltd.
E44CC7800000/28	Iag Group Ltd
E44CC7900000/28	Ottomate International Pvt. Ltd.
E44CC7A00000/28	Muzik Inc
E44CC7C00000/28	EPS Bio
E44CC7D00000/28	Telo Systems Limitd
E44CC7E00000/28	FLK information security technology Co
E44E18	Gardasoft VisionLimited
E44E76	Championtech Enterprise (Shenzhen) Inc
E44F29	MA Lighting Technology GmbH
E44F5F	EDS Elektronik Destek San.Tic.Ltd.Sti
E4509A	HW Communications Ltd
E455EA	Dedicated Computing
E45614	Suttle Apparatus
E45740	ARRIS Group
E457A8	Stuart Manufacturing
E458B8	Samsung Electronics Co.
E458E7	Samsung Electronics Co.
E45AA2	vivo Mobile Communication Co.
E45D37	Juniper Networks
E45D52	Avaya Inc
E45D75	Samsung Electronics Co.
E46059	Pingtek Co.
E46251	Hao Cheng Group Limited
E46449	ARRIS Group
E467BA	Danish Interpretation Systems A/S
E468A3	Huawei Technologies Co.
E4695A	Dictum Health
E46C21	messMa GmbH
E46F13	D-Link International
E470B8	Intel Corporate
E47185	Securifi Ltd
E472E2	Huawei Technologies Co.
E4751E	Getinge Sterilization AB
E47723	zte corporation
E4776B	Aartesys Ag
E477D4	Minrray Industry Co.
E47B3F	Beijing Co-Cloud Technology Ltd.
E47CF9	Samsung Electronics Co.
E47D5A	Beijing Hanbang Technology Corp.
E47DBD	Samsung Electronics Co.
E47DEB	Shanghai Notion Information Technology CO.
E47E66	Huawei Technologies Co.
E47FB2	Fujitsu Limited
E481B3	Shenzhen ACT Industrial Co.
E482CC	Jumptronic GmbH
E48399	ARRIS Group
E48501	Geberit International AG
E48AD5	Rf Window Co.
E48B7F	Apple
E48C0F	Discovery Insure
E48D8C	Routerboard.com
E48F34	Vodafone Italia S.p.A.
E48F65	Yelatma Instrument Making Enterprise
E49069	Rockwell Automation
E4907E	Motorola Mobility LLC
E492E7	Gridlink Tech. Co.
E492FB	Samsung Electronics Co.
E4956E	IEEE Registration Authority
E4956E000000/28	SMC Networks
E4956E100000/28	Tband srl
E4956E200000/28	Shanghai Hoping Technology Co.
E4956E300000/28	Shanghai DGE Co.
E4956E400000/28	Guang Lian Zhi Tong Technology Limited
E4956E500000/28	Elan Systems
E4956E600000/28	Shenzhen Joyetech Electronics Co.
E4956E700000/28	NationalchipKorea
E4956E800000/28	PT.MLWTelecom
E4956E900000/28	eZeLink LLC
E4956EA00000/28	Red Point Positioning
E4956EB00000/28	iConservo Inc
E4956EC00000/28	Shenzhen Arronna Telecom Co.
E4956ED00000/28	Shanghai Tieda Telecommunications Equipment Co.
E4956EE00000/28	Tacom Projetos Bilhetagem Inteligente ltda
E496AE	ALTOGRAPHICS Inc.
E497F0	Shanghai VLC Technologies Ltd. Co.
E498D1	Microsoft Mobile Oy
E498D6	Apple
E49A79	Apple
E49ADC	Apple
E49E12	Freebox Sas
E49F1E	ARRIS Group
E4A1E6	Alcatel-Lucent Shanghai Bell Co.
E4A32F	Shanghai Artimen Technology Co.
E4A387	Control Solutions LLC
E4A471	Intel Corporate
E4A5EF	Tron Link Electronics Co.
E4A749	Palo Alto Networks
E4A7A0	Intel Corporate
E4A7C5	Huawei Technologies Co.
E4A7FD	Cellco Partnership
E4A8B6	Huawei Technologies Co.
E4AA5D	Cisco Systems
E4AB46	UAB Selteka
E4AD7D	SCL Elements
E4B005	Beijing IQIYI Science & Technology Co.
E4B021	Samsung Electronics Co.
E4B2FB	Apple
E4B318	Intel Corporate
E4B97A	Dell Inc.
E4BAD9	360 Fly Inc.
E4BD4B	zte corporation
E4BEED	Netcore Technology Inc.
E4C146	Objetivos y Servicios de Valor A
E4C1F1	SHENZHEN SPOTMAU INFORMATION TECHNOLIGY CO.
E4C2D1	Huawei Technologies Co.
E4C483	Guangdong Oppo Mobile Telecommunications Corp.
E4C63D	Apple
E4C6E6	Mophie
E4C722	Cisco Systems
E4C801	BLU Products Inc
E4C806	Ceiec Electric Technology Inc.
E4CA12	zte corporation
E4CB59	Beijing Loveair Science and Technology Co. Ltd.
E4CE02	WyreStorm Technologies Ltd
E4CE70	Health & Life co.
E4CE8F	Apple
E4D124	Mojo Networks
E4D332	Tp-Link Technologies Co.
E4D3AA	Fujitsu Connected Technologies Limited
E4D3F1	Cisco Systems
E4D53D	Hon Hai Precision Ind. Co.
E4D71D	Oraya Therapeutics
E4DB6D	Beijing Xiaomi Electronics Co.
E4DD79	En-Vision America
E4E0A6	Apple
E4E0C5	Samsung Electronics Co.
E4E130	TCT mobile ltd
E4E409	Leifheit Ag
E4E4AB	Apple
E4E749	Hewlett Packard
E4EA83	Shenzhen Gongjin Electronics Co.
E4EC10	Nokia Corporation
E4EEFD	MR&D Manufacturing
E4F004	Dell Inc.
E4F042	Google
E4F365	Time-O-Matic
E4F3E3	Shanghai iComhome Co.
E4F3E8	Shenzhen SuperElectron Technology Co.
E4F3F5	Shenzhen Mercury Communication Technologies Co.
E4F7A1	Datafox GmbH
E4F89C	Intel Corporate
E4F8EF	Samsung Electronics Co.
E4F939	Minxon Hotel Technology INC.
E4FA1D	PAD Peripheral Advanced Design Inc.
E4FAED	Samsung Electronics Co.
E4FAFD	Intel Corporate
E4FB5D	Huawei Technologies Co.
E4FB8F	Mobiwire Mobiles (Ningbo) Co.
E4FC82	Juniper Networks
E4FED9	EDMI Europe Ltd
E4FFDD	Electron India
E80036	Befs co
E8018D	Fiberhome Telecommunication Technologies Co.
E8039A	Samsung Electronics Co.
E8040B	Apple
E80462	Cisco Systems
E804F3	Throughtek Co.
E8056D	Nortel Networks
E80688	Apple
E80734	Champion Optical Network Engineering
E807BF	Shenzhen Boomtech Industry Co.
E8088B	Huawei Technologies Co.
E80945	Integrated Device Technology (Malaysia) Sdn. Bhd.
E80959	Guoguang Electric Co.
E80B13	Akib Systems Taiwan
E80C38	Daeyoung Information System Co.
E80C75	Syncbak
E80FC8	Universal Electronics
E8102E	Really Simple Software
E81132	Samsung Electronics Co.
E811CA	Shandong Kaer Electric.Co.
E81324	GuangZhou Bonsoninfo System CO.
E81363	Comstock RD
E81367	AIRSOUND Inc.
E8150E	Nokia Corporation
E8162B	IDEO Security Co.
E817FC	Fujitsu Cloud Technologies Limited
E81863	IEEE Registration Authority
E81863000000/28	DigiMagus Technology (Shenzhen) Co.
E81863200000/28	AVCON Information Technology Co.
E81863300000/28	DongGuan Pengxun Electronics Technology Co.
E81863400000/28	Guangzhou Tianyi Electronics Co.
E81863500000/28	Wetek Electronics Limited
E81863600000/28	Artech Solution Co.
E81863700000/28	Siliconcube
E81863900000/28	BSM Wireless Inc.
E81863A00000/28	JDM Mobile Internet Solution(Shanghai) Co.
E81863B00000/28	Protek Electronics Group Co.
E81863C00000/28	Shenzhen Hipad Telecommunication Technology Co.
E81863D00000/28	Digital Dynamics
E81863E00000/28	Acopian Technical Company
E81A58	Technologic Systems
E81AAC	ORFEO SOUNDWORKS Inc.
E81CBA	Fortinet
E81DA8	Ruckus Wireless
E820E2	HUMAX Co.
E82877	TMY Co.
E828D5	Cots Technology
E82A44	Liteon Technology Corporation
E82AEA	Intel Corporate
E82C6D	SmartRG
E82E24	Out of the Fog Research LLC
E8330D	Xaptec GmbH
E83381	ARRIS Group
E8343E	Beijing Infosec Technologies Co.
E83617	Apple
E8361D	Sense Labs
E8377A	Zyxel Communications Corporation
E83935	Hewlett Packard
E839DF	Askey Computer Corp
E83A12	Samsung Electronics Co.
E83A97	Toshiba Corporation
E83EFB	Geodesic Ltd.
E83EFC	ARRIS Group
E84040	Cisco Systems
E840F2	Pegatron Corporation
E843B6	QNAP Systems
E8447E	Bitdefender SRL
E8481F	Advanced Automotive Antennas
E84C56	Intercept Services Limited
E84DD0	Huawei Technologies Co.
E84E06	Edup International (Hk) Co.
E84E84	Samsung Electronics Co.
E84ECE	Nintendo Co.
E8508B	Samsung Electro-Mechanics(Thailand)
E8516E	TSMART Inc.
E8519D	Yeonhab Precision Co.
E85484	NEO Information Systems Co.
E855B4	SAI Technology Inc.
E85659	Advanced-Connectek Inc.
E856D6	NCTech Ltd
E85AA7	LLC Emzior
E85AD1	Fiberhome Telecommunication Technologies Co.
E85B5B	Lg Electronics Inc
E85BB7	Ample Systems Inc.
E85BF0	Imaging Diagnostics
E85D6B	Luminate Wireless
E85D86	Chang Yow Technologies International Co.
E85E53	Infratec Datentechnik GmbH
E8611F	Dawning Information Industry Co.
E8617E	Liteon Technology Corporation
E86183	Black Diamond Advanced Technology
E861BE	Melec Inc.
E86549	Cisco Systems
E865D4	Tenda Technology Co.
E86819	Huawei Technologies Co.
E86A64	LCFC(HeFei) Electronics Technology co.
E86CDA	Supercomputers and Neurocomputers Research Center
E86D52	ARRIS Group
E86D54	Digit Mobile Inc
E86D65	AUDIO MOBIL Elektronik GmbH
E86D6E	voestalpine SIGNALING Fareham Ltd.
E86FF2	Actiontec Electronics
E8718D	Elsys Equipamentos Eletronicos Ltda
E874E6	ADB Broadband Italia
E8757F	FIRS Technologies(Shenzhen) Co.
E878A1	Beoview Intercom Doo
E87AF3	S5 Tech S.r.l.
E8802E	Apple
E880D8	GNTEK Electronics Co.
E8825B	ARRIS Group
E887A3	Loxley Public Company Limited
E8886C	Shenzhen SC Technologies Co.
E8892C	ARRIS Group
E88D28	Apple
E88DF5	ZNYX Networks
E88E60	NSD Corporation
E89120	Motorola Mobility LLC
E89218	Arcontia International AB
E892A4	LG Electronics (Mobile Communications)
E89309	Samsung Electronics Co.
E8944C	Cogent Healthcare Systems Ltd
E894F6	Tp-Link Technologies Co.
E89606	testo Instruments (Shenzhen) Co.
E8986D	Palo Alto Networks
E8995A	PiiGAB
E899C4	HTC Corporation
E89A8F	Quanta Computer Inc.
E89AFF	Fujian LANDI Commercial Equipment Co.
E89EB4	Hon Hai Precision Ind. Co.
E89FEC	Chengdu Kt Electronic Hi-Tech Co.
E8A364	Signal Path International / Peachtree Audio
E8A4C1	Deep Sea Electronics PLC
E8A788	Xiamen Leelen Technology Co.
E8ABF3	Huawei Technologies Co.
E8ABFA	Shenzhen Reecam Tech.Ltd.
E8ADA6	Sagemcom Broadband SAS
E8B1FC	Intel Corporate
E8B2AC	Apple
E8B2FE	HUMAX Co.
E8B4AE	Shenzhen C&D Electronics Co.
E8B4C8	Samsung Electronics Co.
E8B541	zte corporation
E8B6C2	Juniper Networks
E8B748	Cisco Systems
E8BA70	Cisco Systems
E8BB3D	Sino Prime-Tech Limited
E8BBA8	Guangdong Oppo Mobile Telecommunications Corp.
E8BDD1	Huawei Technologies Co.
E8BE81	Sagemcom Broadband SAS
E8C1B8	Nanjing Bangzhong Electronic Commerce Limited
E8C229	H-Displays (MSC) Bhd
E8C320	Austco Communication Systems Pty Ltd
E8C417	Fiberhome Telecommunication Technologies Co.
E8C57A	Ufispace Co.
E8C74F	Liteon Technology Corporation
E8CBA1	Nokia Corporation
E8CC18	D-Link International
E8CC32	Micronet LTD
E8CD2D	Huawei Technologies Co.
E8CE06	SkyHawke Technologies
E8D099	Fiberhome Telecommunication Technologies Co.
E8D0FA	MKS Instruments Deutschland GmbH
E8D0FC	Liteon Technology Corporation
E8D11B	Askey Computer Corp
E8D483	ULTIMATE Europe Transportation Equipment GmbH
E8D4E0	Beijing BenyWave Technology Co.
E8D819	AzureWave Technology Inc.
E8DA96	Zhuhai Tianrui Electrical Power Tech. Co.
E8DAAA	VideoHome Technology Corp.
E8DE00	ChongQing GuanFang Technology Co.
E8DE27	Tp-Link Technologies Co.
E8DE8E	Integrated Device Technology (Malaysia) Sdn. Bhd.
E8DED6	Intrising Networks
E8DEFB	Mesotic Sas
E8DF70	AVM Audiovisuelles Marketing und Computersysteme GmbH
E8DFF2	PRF Co.
E8E08F	Gravotech Marking Sas
E8E1E1	Gemtek Technology Co.
E8E1E2	Energotest
E8E5D6	Samsung Electronics Co.
E8E732	Alcatel-Lucent Enterprise
E8E770	Warp9 Tech Design
E8E776	Shenzhen Kootion Technology Co.
E8E875	iS5 Communications Inc.
E8E8B7	Murata Manufacturing Co.
E8EA6A	StarTech.com
E8EADA	Denkovi Assembly Electronics LTD
E8EB11	Texas Instruments
E8ECA3	Dongguan Liesheng Electronic Co.Ltd
E8ED05	ARRIS Group
E8EDF3	Cisco Systems
E8EF89	OPMEX Tech.
E8F1B0	Sagemcom Broadband SAS
E8F226	Millson Custom Solutions Inc.
E8F2E2	LG Innotek
E8F2E3	Starcor Beijing Co.
E8F724	Hewlett Packard Enterprise
E8F928	Rftech Srl
E8FAF7	Guangdong Uniteddata Holding Group Co.
E8FC60	ELCOM Innovations Private Limited
E8FD72	Shanghai Linguo Technology Co.
E8FD90	Turbostor
E8FDE8	CeLa Link Corporation
EA34B4	ThinkRF Inc.
EA6076	CloudSimple
EA9FB1	Philips International B.V.
EADD88	IEEE PES-PSRC Working Group H3
EAE0D9	Berk-tek LLC
EC0133	Trinus Systems Inc.
EC01E2	Foxconn Interconnect Technology
EC01EE	Guangdong Oppo Mobile Telecommunications Corp.
EC0441	ShenZhen TIGO Semiconductor Co.
EC086B	Tp-Link Technologies Co.
EC0D9A	Mellanox Technologies
EC0EC4	Hon Hai Precision Ind. Co.
EC0ED6	Itech Instruments Sas
EC1000	Enance Source Co.
EC107B	Samsung Electronics Co.
EC1120	FloDesign Wind Turbine Corporation
EC1127	Texas Instruments
EC13DB	Juniper Networks
EC14F6	BioControl AS
EC172F	Tp-Link Technologies Co.
EC1766	Research Centre Module
EC1A59	Belkin International Inc.
EC1D7F	zte corporation
EC1D8B	Cisco Systems
EC1F72	Samsung Electro-Mechanics(Thailand)
EC219F	VidaBox LLC
EC2257	JiangSu NanJing University Electronic Information Technology Co.
EC2280	D-Link International
EC233D	Huawei Technologies Co.
EC2368	IntelliVoice Co.
EC237B	zte corporation
EC24B8	Texas Instruments
EC26CA	Tp-Link Technologies Co.
EC26FB	Tecc Co.
EC2AF0	Ypsomed AG
EC2C49	University of Tokyo
EC2CE2	Apple
EC2E4E	Hitachi-Lg Data Storage Inc
EC3091	Cisco Systems
EC3586	Apple
EC363F	Markov Corporation
EC3873	Juniper Networks
EC388F	Huawei Technologies Co.
EC3C5A	Shen Zhen Heng Sheng Hui Digital Technology Co.
EC3C88	MCNEX Co.
EC3DFD	Shenzhen Bilian Electronic Co.，Ltd
EC3E09	Performance Designed Products
EC3EF7	Juniper Networks
EC3F05	Institute 706
EC4118	XIAOMI Electronics
EC42B4	ADC Corporation
EC42F0	ADL Embedded Solutions
EC43E6	AWCER Ltd.
EC43F6	Zyxel Communications Corporation
EC4476	Cisco Systems
EC4644	Ttk Sas
EC4670	Meinberg Funkuhren GmbH & Co. KG
EC473C	Redwire
EC4993	Qihan Technology Co.
EC4C4D	ZAO NPK RoTeK
EC4D47	Huawei Technologies Co.
EC4F82	Calix Inc.
EC51BC	Guangdong Oppo Mobile Telecommunications Corp.
EC52DC	WORLD MEDIA AND TECHNOLOGY Corp.
EC542E	Shanghai XiMei Electronic Technology Co. Ltd
EC55F9	Hon Hai Precision Ind. Co.
EC5623	Huawei Technologies Co.
EC58EA	Ruckus Wireless
EC59E7	Microsoft Corporation
EC5A86	Yulong Computer Telecommunication Scientific (Shenzhen) Co.
EC5C68	Chongqing Fugui Electronics Co.
EC5C69	Mitsubishi Heavy Industries Mechatronics Systems
EC5F23	Qinghai Kimascend Electronics Technology Co. Ltd.
EC60E0	Avi-On Labs
EC6264	Global411 Internet Services
EC63E5	ePBoard Design LLC
EC64E7	MOCACARE Corporation
EC65CC	Panasonic Automotive Systems Company of America
EC66D1	B&W Group LTD
EC6881	Palo Alto Networks
EC6C9F	Chengdu Volans Technology CO.
EC6F0B	FADU
EC7097	ARRIS Group
EC71DB	Shenzhen Baichuan Digital Technology Co.
EC74BA	Hirschmann Automation and Control GmbH
EC7C74	Justone Technologies Co.
EC7D11	vivo Mobile Communication Co.
EC7FC6	Eccel Corporation Sas
EC8009	NovaSparks
EC8193	Logitech
EC8350	Microsoft Corporation
EC836C	RM Tech Co.
EC83D5	GIRD Systems Inc
EC84B4	Cig Shanghai Co Ltd
EC852F	Apple
EC888F	Tp-Link Technologies Co.
EC8892	Motorola Mobility LLC
EC8914	Huawei Technologies Co.
EC89F5	Lenovo Mobile Communication Technology Ltd.
EC8A4C	zte corporation
EC8AC7	Fiberhome Telecommunication Technologies Co.
EC8C9A	Huawei Technologies Co.
EC8CA2	Ruckus Wireless
EC8EAE	Nagravision SA
EC8EB5	Hewlett Packard
EC9233	Eddyfi NDT Inc
EC9327	MEMMERT GmbH + Co. KG
EC9365	Mapper.ai
EC93ED	DDoS-Guard LTD
EC9681	2276427 Ontario Inc
EC986C	Lufft Mess- und Regeltechnik GmbH
EC98C1	Beijing Risbo Network Technology Co.
EC9A74	Hewlett Packard
EC9B5B	Nokia Corporation
EC9B8B	Hewlett Packard Enterprise
EC9BF3	Samsung Electro-Mechanics(Thailand)
EC9ECD	Artesyn Embedded Technologies
EC9F0D	IEEE Registration Authority
EC9F0D000000/28	Hesai Photonics Technology Co.
EC9F0D100000/28	Simula Technology Inc.
EC9F0D200000/28	DRB Systems
EC9F0D300000/28	Waverly Labs Inc.
EC9F0D500000/28	Paw-Taw-John Services
EC9F0D600000/28	Shenzhen Compare Electronics Co.
EC9F0D700000/28	Bei jing Lian Shan times Techonology Co.Ltd
EC9F0D800000/28	Zhejiang HEJU Communication Technology Co.
EC9F0DA00000/28	flexlog GmbH
EC9F0DB00000/28	Crrc Qingdao Sifang Rolling Stock Research Institute Co.
EC9F0DC00000/28	Sarcos Corp
EC9F0DD00000/28	SKS Control Oy
EC9F0DE00000/28	MAX Technologies
ECA29B	Kemppi Oy
ECA86B	Elitegroup Computer Systems Co.
ECA9FA	Guangdong Genius Technology Co.
ECAAA0	Pegatron Corporation
ECADB8	Apple
ECADE0	D-Link International
ECB0E1	Ciena Corporation
ECB106	Acuro Networks
ECB1D7	Hewlett Packard
ECB313	Shenzhen Gongjin Electronics Co.
ECB541	SHINANO E and E Co.Ltd.
ECB5FA	Philips Lighting BV
ECB870	Beijing Heweinet Technology Co.
ECB907	CloudGenix Inc
ECBBAE	Digivoice Tecnologia em Eletronica Ltda
ECBD09	FUSION Electronics Ltd
ECBD1D	Cisco Systems
ECC06A	PowerChord Group Limited
ECC38A	Accuenergy (CANADA) Inc
ECC40D	Nintendo Co.
ECC57F	Suzhou Pairlink Network Technology
ECC882	Cisco Systems
ECCB30	Huawei Technologies Co.
ECCD6D	Allied Telesis
ECD00E	MiraeRecognition Co.
ECD040	GEA Farm Technologies GmbH
ECD09F	Xiaomi Communications Co Ltd
ECD19A	Zhuhai Liming Industries Co.
ECD68A	Shenzhen JMicron Intelligent Technology Developmen
ECD950	Irt Sa
ECD9D1	Shenzhen TG-NET Botone Technology Co.
ECDE3D	Lamprey Networks
ECDF3A	vivo Mobile Communication Co.
ECE09B	Samsung Electronics Co.
ECE154	Beijing Unisound Information Technology Co.
ECE1A9	Cisco Systems
ECE2FD	SKG Electric Group(Thailand) Co.
ECE512	tado GmbH
ECE555	Hirschmann Automation
ECE744	Omntec mfg. inc
ECE90B	Sistema Solucoes Eletronicas Ltda - Easytech
ECE915	STI Ltd
ECE9F8	Guang Zhou TRI-SUN Electronics Technology Co.
ECEA03	Darfon Lighting Corp
ECEBB8	Hewlett Packard Enterprise
ECEED8	ZTLX Network Technology Co.
ECF0FE	zte corporation
ECF236	Neomontana Electronics
ECF342	Guangdong Oppo Mobile Telecommunications Corp.
ECF35B	Nokia Corporation
ECF451	Arcadyan Corporation
ECF4BB	Dell Inc.
ECF6BD	Sncf Mobilités
ECF72B	Hd Digital Tech Co.
ECF8EB	Sichuan Tianyi Comheart Telecomco.
ECFAAA	The IMS Company
ECFABC	Espressif Inc.
ECFAF4	SenRa Tech Pvt. Ltd
ECFC55	A. Eberle GmbH & Co. KG
ECFE7E	BlueRadios
F0007F	Janz - Contadores de Energia
F00248	SmarteBuilding
F0038C	AzureWave Technology Inc.
F00786	Shandong Bittel Electronics Co.
F008F1	Samsung Electronics Co.
F00D5C	JinQianMao Technology Co.
F00E1D	Megafone Limited
F00EBF	ZettaHash Inc.
F00FEC	Huawei Technologies Co.
F010AB	China Mobile (Hangzhou) Information Technology Co.
F013C3	Shenzhen Fenda Technology Co.
F015A0	KyungDong One Co.
F015B9	PlayFusion Limited
F0182B	LG Chem
F01898	Apple
F01B6C	vivo Mobile Communication Co.
F01C13	LG Electronics (Mobile Communications)
F01C2D	Juniper Networks
F01DBC	Microsoft Corporation
F01E34	ORICO Technologies Co.
F01FAF	Dell Inc.
F0219D	Cal-Comp Electronics & Communications Company Ltd.
F0224E	Esan electronic co.
F02329	Showa Denki Co.
F023B9	IEEE Registration Authority
F023B9000000/28	Aquametro AG
F023B9200000/28	Raysgem Electronics and Technology Co.Ltd
F023B9300000/28	BSP RUS Ltd.
F023B9400000/28	Ezvis Limited
F023B9500000/28	Audeara Pty. Ltd.
F023B9600000/28	Xiamen Jinhaode Electronic Co.
F023B9700000/28	Transcend Building Automation control network corporation
F023B9800000/28	G3 Technologies< Inc
F023B9900000/28	Emu Technology
F023B9A00000/28	Annapurna labs
F023B9B00000/28	Q Core Medical Ltd
F023B9C00000/28	Shenzhen Lachesis Mhealth Co.
F023B9E00000/28	Domotz Ltd
F02405	OPUS High Technology Corporation
F02408	Talaris (Sweden) AB
F02475	Apple
F02572	Cisco Systems
F025B7	Samsung Electro-Mechanics(Thailand)
F02624	Wafa Technologies Co.
F0264C	Dr. Sigrist AG
F0272D	Amazon Technologies Inc.
F02745	F-Secure Corporation
F02765	Murata Manufacturing Co.
F02929	Cisco Systems
F02A23	Creative Next Design
F02A61	Waldo Networks
F02FA7	Huawei Technologies Co.
F02FD8	Bi2-Vision
F0321A	Mita-Teknik A/S
F03404	TCT mobile ltd
F037A1	Huike Electronics (SHENZHEN) CO.
F03A4B	Bloombase
F03A55	Omega Elektronik AS
F03D03	Tecno Mobile Limited
F03E90	Ruckus Wireless
F03EBF	Gogoro Taiwan Limited
F03FF8	R L Drake
F0407B	Fiberhome Telecommunication Technologies Co.
F041C8	IEEE Registration Authority
F041C8000000/28	Linpa Acoustic Technology Co.
F041C8100000/28	DongGuan Siyoto Electronics Co.
F041C8200000/28	Shenzhen Medica Technology Development Co.
F041C8300000/28	Shenzhen Wisewing Internet Technology Co.
F041C8400000/28	Candelic Limited
F041C8500000/28	XI'AN MEI SHANG MEI WIRELESS TECHNOLOGY.Co.
F041C8600000/28	AED Engineering GmbH
F041C8700000/28	Nanchang BlackShark Co.
F041C8800000/28	Postium Korea Co.
F041C8900000/28	Shenzhen Nufilo Electronic Technology Co.
F041C8B00000/28	Powervault Ltd
F041C8C00000/28	Shanghai Think-Force Electronic Technology Co. Ltd
F041C8D00000/28	ATN Media Group FZ LLC
F041C8E00000/28	Shenzhen Umind Technology Co.
F0421C	Intel Corporate
F04335	DVN(Shanghai)Ltd.
F04347	Huawei Technologies Co.
F045DA	Texas Instruments
F04A2B	PYRAMID Computer GmbH
F04B3A	Juniper Networks
F04B6A	Scientific Production Association Siberian Arsenal
F04BF2	JTECH Communications
F04CD5	Maxlinear
F04DA2	Dell Inc.
F051EA	Fitbit
F05494	Honeywell Connected Building
F05849	CareView Communications
F05A09	Samsung Electronics Co.
F05B7B	Samsung Electronics Co.
F05C19	Aruba
F05D89	Dycon Limited
F05DC8	Duracell Powermat
F05F5A	Getriebebau NORD GmbH and Co. KG
F06130	Advantage Pharmacy Services
F0620D	Shenzhen Egreat Tech Corp.
F06281	ProCurve Networking by HP
F063F9	Huawei Technologies Co.
F065C2	Yanfeng Visteon Electronics Technology (Shanghai) Co.
F065DD	Primax Electronics Ltd.
F06853	Integrated Corporation
F06BCA	Samsung Electronics Co.
F06D78	Guangdong Oppo Mobile Telecommunications Corp.
F06E0B	Microsoft Corporation
F06E32	Microtel Innovation S.R.L.
F0728C	Samsung Electronics Co.
F073AE	PEAK-System Technik
F07485	NGD Systems
F074E4	Thundercomm Technology Co.
F0761C	Compal Information (Kunshan) Co.
F0766F	Apple
F07765	Sourcefire
F07816	Cisco Systems
F07959	ASUSTek COMPUTER INC.
F07960	Apple
F079E8	Guangdong Oppo Mobile Telecommunications Corp.
F07BCB	Hon Hai Precision Ind. Co.
F07D68	D-Link Corporation
F07F06	Cisco Systems
